Latitude,Longitude,Tipo,Nome
-12.9927949,-38.4627656,pharmacy,Flora Manipulação
-12.9936584,-38.4604421,fast_food,Zaatar
-12.9950447,-38.4715214,atm,Banco24Horas
-12.9955785,-38.4710589,fast_food,Carambola
-12.9952224,-38.4713053,pharmacy,A Terapêutica
-13.0025160,-38.4544881,restaurant,Sushi Bahia to go
-12.9942047,-38.4575387,restaurant,Martim Pescador
-12.9940930,-38.4580264,pub,Proa Cervejaria
-12.9909542,-38.4604892,clinic,CARE - Centro de alto rendimento no esporte
-13.0002497,-38.4579767,pub,Outbecko
-13.0039963,-38.4567658,bar,Ponte Aérea
-13.0020301,-38.4571742,restaurant,Rice
-12.9906752,-38.4571637,restaurant,Buddha Bistrô Asiático
-12.9902257,-38.4569019,restaurant,Kero Massa
-12.9936062,-38.4554722,bar,Zacca
-12.9935782,-38.4559841,restaurant,Mamma's Pizza
-12.9905833,-38.4575538,cafe,La Padokita
-12.9957936,-38.4708900,bicycle_rental,Paseo Itaigara
-12.9996457,-38.4587322,clinic,Instituto Desenvolver
-12.9951002,-38.4674425,atm,Banco24Horas
-12.9951539,-38.4674801,post_office,Correios
-12.9864192,-38.4577383,pharmacy,Globo
-13.0013498,-38.4565269,bar,PA2
-12.9956560,-38.4694088,restaurant,Terraço
-12.9940190,-38.4580285,restaurant,A Companhia do Sertão
-12.9881309,-38.4667618,restaurant,Le Páprika
-12.9936026,-38.4557541,veterinary,reaBAvet
-12.9933383,-38.4548078,restaurant,Tai San
-12.9926843,-38.4548149,bank,Caixa Econômica Federal
-13.0047813,-38.4603915,restaurant,Yokoyama
-12.9887210,-38.4561324,restaurant,Puro Sabor
-12.9889386,-38.4554538,school,Leffler Vestibular
-12.9903352,-38.4562200,clinic,Cedermes
-12.9866137,-38.4572965,pharmacy,Drogasil
-12.9890641,-38.4554458,pharmacy,Elementar
-12.9882171,-38.4566512,restaurant,Di Parma
-13.0030304,-38.4565168,restaurant,Cantina Buoni Amici
-12.9901048,-38.4580308,pharmacy,Farmácia Ultra Econômica
-12.9990629,-38.4601691,restaurant,Casa Iryna
-12.9896844,-38.4669363,recycling,Ecoponto
-12.9918467,-38.4611099,veterinary,Semeve
-12.9937220,-38.4582011,pub,Choppim Happy Hour
-12.9938493,-38.4581916,restaurant,Moinho da Pizza
-12.9935172,-38.4580033,childcare,Colégio Jardins
-12.9971548,-38.4659303,dentist,Clinoi Serviços Odontológicos
-12.9971829,-38.4519323,restaurant,Maná
-13.0038170,-38.4559698,restaurant,Acqua & Farina
-12.9876451,-38.4666440,bank,Banco Daycoval
-12.9935669,-38.4529170,bar,Aleatórios Bar
-12.9919337,-38.4536150,school,Colégio Oficina
-12.9919416,-38.4532165,restaurant,Porto Brasil Gourmet
